PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA,FGP,TPP,FTP
Adam Keefe,1997,82,160,0,1,71,103,0.5125,0,0.689320388
Jamie Feick,1997,56,157,5,14,34,67,0.356687898,0.357142857,0.507462687
Ken Norman,1997,27,94,6,38,4,12,0.287234043,0.157894737,0.333333333
Gaylon Nickerson,1997,4,12,0,2,7,7,0.333333333,0,1
Eric Murdock,1997,15,33,4,10,11,12,0.454545455,0.4,0.916666667
Ed O'Bannon,1997,93,278,18,69,31,35,0.334532374,0.260869565,0.885714286
Doug Overton,1997,81,190,10,40,45,48,0.426315789,0.25,0.9375
Tracy Moore,1997,33,85,11,43,22,31,0.388235294,0.255813953,0.709677419
David Wingate,1997,89,214,25,71,33,40,0.41588785,0.352112676,0.825
Tony Dumas,1997,33,96,4,28,16,25,0.34375,0.142857143,0.64
Greg Graham,1997,29,80,9,31,26,40,0.3625,0.290322581,0.65
Craig Ehlo,1997,87,248,27,95,13,26,0.350806452,0.284210526,0.5
Greg Foster,1997,111,245,2,3,54,65,0.453061224,0.666666667,0.830769231
Donald Royal,1997,62,146,0,2,94,117,0.424657534,0,0.803418803
Steve Nash,1997,74,175,23,55,42,51,0.422857143,0.418181818,0.823529412
Rumeal Robinson,1997,66,163,18,55,24,31,0.404907975,0.327272727,0.774193548
Pete Chilcutt,1997,72,165,25,69,13,22,0.436363636,0.362318841,0.590909091
Jamie Watson,1997,31,72,4,12,12,16,0.430555556,0.333333333,0.75
Lionel Simmons,1997,45,136,7,30,42,48,0.330882353,0.233333333,0.875
Cherokee Parks,1997,103,202,0,1,46,76,0.50990099,0,0.605263158
Frankie King,1997,7,17,1,2,5,5,0.411764706,0.5,1
Sedale Threatt,1997,28,74,8,20,6,8,0.378378378,0.4,0.75
Donny Marshall,1997,52,160,33,87,38,54,0.325,0.379310345,0.703703704
Priest Lauderdale,1997,49,89,0,1,13,23,0.550561798,0,0.565217391
Mitchell Butler,1997,52,124,12,38,32,50,0.419354839,0.315789474,0.64
Aleksandar Djordjevic,1997,8,16,5,7,4,5,0.5,0.714285714,0.8
Rafael Addison,1997,49,122,8,20,22,28,0.401639344,0.4,0.785714286
Ray Owes,1997,75,180,1,5,26,46,0.416666667,0.2,0.565217391
Bobby Hurley,1997,46,125,14,45,37,53,0.368,0.311111111,0.698113208
Eric Snow,1997,74,164,4,15,47,66,0.451219512,0.266666667,0.712121212
Willie Anderson,1997,29,64,8,19,17,20,0.453125,0.421052632,0.85
Jerome Allen,1997,77,220,30,93,42,72,0.35,0.322580645,0.583333333
Mark Hendrickson,1997,31,76,2,11,18,26,0.407894737,0.181818182,0.692307692
Malik Rose,1997,61,128,0,2,38,62,0.4765625,0,0.612903226
Dan Schayes,1997,47,120,0,1,39,52,0.391666667,0,0.75
Tim Legler,1997,15,48,8,29,6,7,0.3125,0.275862069,0.857142857
Chucky Brown,1997,78,154,1,6,47,70,0.506493506,0.166666667,0.671428571
Richard Manning,1997,32,82,2,4,9,14,0.390243902,0.5,0.642857143
Don Reid,1997,54,112,0,1,24,32,0.482142857,0,0.75
Joe Kleine,1997,69,170,2,3,28,38,0.405882353,0.666666667,0.736842105
George Zidek,1997,49,118,0,2,45,57,0.415254237,0,0.789473684
Michael Hawkins,1997,29,68,10,31,12,15,0.426470588,0.322580645,0.8
Jimmy Oliver,1997,4,13,1,6,2,2,0.307692308,0.166666667,1
Antonio Lang,1997,68,162,0,6,35,48,0.419753086,0,0.729166667
Evric Gray,1997,4,15,1,4,4,4,0.266666667,0.25,1
Duane Causwell,1997,48,94,2,3,20,37,0.510638298,0.666666667,0.540540541
Rick Mahorn,1997,20,54,0,1,16,22,0.37037037,0,0.727272727
Donnie Boyce,1997,21,63,2,16,11,22,0.333333333,0.125,0.5
Elmer Bennett,1997,6,19,3,9,7,10,0.315789474,0.333333333,0.7
Dwayne Schintzius,1997,13,36,1,2,7,8,0.361111111,0.5,0.875
Nate Driggers,1997,13,43,0,9,10,14,0.302325581,0,0.714285714
Lou Roe,1997,14,48,3,11,9,19,0.291666667,0.272727273,0.473684211
Brett Szabo,1997,54,121,0,1,45,61,0.446280992,0,0.737704918
Steve Hamer,1997,30,57,0,2,16,29,0.526315789,0,0.551724138
Adrian Caldwell,1997,40,92,0,2,21,50,0.434782609,0,0.42
Donald Whiteside,1997,18,55,12,36,11,15,0.327272727,0.333333333,0.733333333
Litterial Green,1997,29,62,0,9,30,47,0.467741935,0,0.638297872
Shane Heal,1997,26,97,20,65,3,5,0.268041237,0.307692308,0.6
Walter McCarty,1997,26,68,4,14,8,14,0.382352941,0.285714286,0.571428571
Greg Dreiling,1997,34,74,1,1,11,27,0.459459459,1,0.407407407
Dell Demps,1997,0,3,0,1,2,2,0,0,1
Mark Strickland,1997,25,60,0,1,12,21,0.416666667,0,0.571428571
Stevin Smith,1997,6,18,1,6,1,1,0.333333333,0.166666667,1
Jud Buechler,1997,58,158,18,54,5,14,0.367088608,0.333333333,0.357142857
Dickey Simpkins,1997,31,93,1,4,28,40,0.333333333,0.25,0.7
Randolph Childress,1997,14,40,5,19,6,8,0.35,0.263157895,0.75
Herb Williams,1997,18,46,0,1,3,4,0.391304348,0,0.75
Scott Brooks,1997,19,39,5,12,12,13,0.487179487,0.416666667,0.923076923
Joe Wolf,1997,40,89,1,7,14,19,0.449438202,0.142857143,0.736842105
Amal McCaskill,1997,10,32,0,2,8,12,0.3125,0,0.666666667
Reggie Geary,1997,21,57,8,21,4,9,0.368421053,0.380952381,0.444444444
Tom Chambers,1997,7,31,2,3,3,4,0.225806452,0.666666667,0.75
Martin Lewis,1997,6,14,1,3,1,2,0.428571429,0.333333333,0.5
Moochie Norris,1997,4,22,2,10,2,5,0.181818182,0.2,0.4
Matt Steigenga,1997,1,4,0,2,1,2,0.25,0,0.5
David Wood,1997,20,38,5,15,11,16,0.526315789,0.333333333,0.6875
Ashraf Amaya,1997,12,40,1,1,15,28,0.3,1,0.535714286
Carl Thomas,1997,9,24,2,12,1,1,0.375,0.166666667,1
James Scott,1997,0,8,0,4,1,2,0,0,0.5
Michael Jordan,1998,881,1893,30,126,565,721,0.465398838,0.238095238,0.783633842
Karl Malone,1998,780,1472,2,6,628,825,0.529891304,0.333333333,0.761212121
Glenn Robinson,1998,534,1136,25,65,215,266,0.470070423,0.384615385,0.808270677
Mitch Richmond,1998,543,1220,130,334,407,471,0.445081967,0.389221557,0.864118896
Antoine Walker,1998,722,1705,91,292,305,473,0.423460411,0.311643836,0.644820296
Shareef Abdur-Rahim,1998,653,1348,21,51,502,640,0.484421365,0.411764706,0.784375
Glen Rice,1998,634,1386,130,300,428,504,0.457431457,0.433333333,0.849206349
Allen Iverson,1998,649,1407,70,235,390,535,0.461265103,0.29787234,0.728971963
Chris Webber,1998,647,1341,65,205,196,333,0.482475764,0.317073171,0.588588589
David Robinson,1998,544,1065,1,4,485,660,0.510798122,0.25,0.734848485
Michael Finley,1998,675,1505,87,244,326,416,0.448504983,0.356557377,0.783653846
Latrell Sprewell,1998,110,277,9,48,70,94,0.397111913,0.1875,0.744680851
Grant Hill,1998,615,1361,3,21,479,647,0.451873622,0.142857143,0.740340031
Tim Duncan,1998,706,1287,0,10,319,482,0.548562549,0,0.661825726
Patrick Ewing,1998,203,403,0,2,134,186,0.503722084,0,0.720430108
Tom Gugliotta,1998,319,635,2,17,183,223,0.502362205,0.117647059,0.820627803
Steven Smith,1998,489,1101,97,276,389,455,0.444141689,0.351449275,0.854945055
Isaiah Rider,1998,551,1302,135,420,221,267,0.423195084,0.321428571,0.827715356
Keith Van Horn,1998,446,1047,69,224,258,305,0.425978988,0.308035714,0.845901639
Sam Cassell,1998,510,1156,15,80,436,507,0.441176471,0.1875,0.859960552
Ray Allen,1998,563,1315,134,368,342,391,0.428136882,0.364130435,0.874680307
Reggie Miller,1998,516,1081,164,382,382,440,0.4773358,0.429319372,0.868181818
Vin Baker,1998,631,1164,1,7,311,526,0.54209622,0.142857143,0.591254753
Gary Payton,1998,579,1278,134,397,279,375,0.453051643,0.337531486,0.744
Scottie Pippen,1998,316,705,61,192,150,193,0.44822695,0.317708333,0.777202073
Tim Hardaway,1998,558,1296,155,442,257,329,0.430555556,0.350678733,0.781155015
Kevin Garnett,1998,635,1293,3,16,245,332,0.491105955,0.1875,0.737951807
Juwan Howard,1998,463,991,0,2,258,358,0.467204844,0,0.720670391
Allan Houston,1998,571,1277,82,213,285,335,0.447141738,0.384976526,0.850746269
Clyde Drexler,1998,452,1059,106,334,277,346,0.426817753,0.317365269,0.800578035
Shawn Kemp,1998,518,1164,2,8,404,556,0.445017182,0.25,0.726618705
Rod Strickland,1998,490,1130,12,48,357,492,0.433628319,0.25,0.725609756
Corliss Williamson,1998,561,1134,0,9,279,443,0.494708995,0,0.62979684
Stephon Marbury,1998,513,1237,95,304,329,450,0.414713015,0.3125,0.731111111
Derrick Coleman,1998,356,867,26,98,302,391,0.410611303,0.265306122,0.772378517
Damon Stoudamire,1998,448,1091,91,304,238,287,0.410632447,0.299342105,0.829268293
Kerry Kittles,1998,508,1154,110,263,202,250,0.440207972,0.418250951,0.808
Eddie Jones,1998,486,1005,143,368,234,306,0.48358209,0.388586957,0.764705882
Terrell Brandon,1998,339,731,31,93,132,156,0.46374829,0.333333333,0.846153846
Rik Smits,1998,514,1038,0,3,188,240,0.495183044,0,0.783333333
Doug Christie,1998,458,1071,100,307,271,327,0.427637722,0.325732899,0.828746177
Hakeem Olajuwon,1998,306,633,0,3,160,212,0.483412322,0,0.754716981
Anfernee Hardaway,1998,103,273,15,50,90,118,0.377289377,0.3,0.762711864
Bryant Reeves,1998,492,940,0,4,223,316,0.523404255,0,0.705696203
Bison Dele,1998,531,1040,1,3,198,280,0.510576923,0.333333333,0.707142857
Kevin Willis,1998,531,1041,1,7,242,305,0.510086455,0.142857143,0.793442623
