PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA,FGP,TPP,FTP
Steven Smith,2001,359,788,78,230,309,347,0.455583756,0.339130435,0.890489914
Alonzo Mourning,2001,73,141,0,1,31,55,0.517730496,0,0.563636364
Donyell Marshall,2001,427,849,41,128,205,273,0.502944641,0.3203125,0.750915751
Marc Jackson,2001,237,508,5,23,154,192,0.466535433,0.217391304,0.802083333
Elden Campbell,2001,367,834,0,6,288,406,0.440047962,0,0.709359606
Maurice Taylor,2001,390,797,0,4,119,162,0.489335006,0,0.734567901
Ruben Patterson,2001,370,749,2,36,246,361,0.493991989,0.055555556,0.681440443
Damon Stoudamire,2001,406,935,82,219,172,207,0.434224599,0.374429224,0.830917874
Raef LaFrentz,2001,387,812,51,139,183,262,0.476600985,0.366906475,0.698473282
Jeff McInnis,2001,432,933,52,144,130,161,0.463022508,0.361111111,0.807453416
Jermaine O'Neal,2001,404,868,0,5,233,388,0.465437788,0,0.600515464
Lamond Murray,2001,391,925,61,165,155,211,0.422702703,0.36969697,0.734597156
Bonzi Wells,2001,387,726,17,50,157,238,0.533057851,0.34,0.659663866
Tim Thomas,2001,326,758,107,260,195,253,0.430079156,0.411538462,0.770750988
Lorenzen Wright,2001,363,811,0,2,155,216,0.447595561,0,0.717592593
Doug Christie,2001,311,788,94,250,280,312,0.394670051,0.376,0.897435897
Joe Smith,2001,308,765,0,5,231,287,0.402614379,0,0.804878049
Tony Delk,2001,383,923,54,168,185,235,0.414951246,0.321428571,0.787234043
Vin Baker,2001,347,822,1,16,232,321,0.422141119,0.0625,0.722741433
Rodney Rogers,2001,377,876,56,189,188,247,0.430365297,0.296296296,0.761133603
Voshon Lenard,2001,336,846,147,382,153,192,0.397163121,0.384816754,0.796875
Marcus Camby,2001,304,580,1,8,150,225,0.524137931,0.125,0.666666667
Vlade Divac,2001,364,755,4,14,242,350,0.482119205,0.285714286,0.691428571
Chris Mills,2001,71,191,7,25,31,36,0.371727749,0.28,0.861111111
Chucky Atkins,2001,380,952,121,339,90,130,0.399159664,0.356932153,0.692307692
Glen Rice,2001,331,752,82,211,155,182,0.440159574,0.388625592,0.851648352
Kenyon Martin,2001,346,777,1,11,121,192,0.445302445,0.090909091,0.630208333
Bryon Russell,2001,308,700,95,230,222,285,0.44,0.413043478,0.778947368
Metta World Peace,2001,327,815,43,148,210,280,0.401226994,0.290540541,0.75
Travis Best,2001,347,788,37,97,187,226,0.44035533,0.381443299,0.827433628
Mike Miller,2001,368,845,148,364,91,128,0.435502959,0.406593407,0.7109375
Hakeem Olajuwon,2001,283,568,0,1,123,198,0.498239437,0,0.621212121
Zydrunas Ilgauskas,2001,114,234,0,2,53,78,0.487179487,0,0.679487179
Corliss Williamson,2001,325,647,0,2,151,237,0.502318393,0,0.637130802
Aaron McKie,2001,338,714,53,170,149,194,0.473389356,0.311764706,0.768041237
John Stockton,2001,328,651,61,132,227,278,0.503840246,0.462121212,0.816546763
Jim Jackson,2001,239,632,26,80,139,169,0.378164557,0.325,0.822485207
Derek Fisher,2001,77,187,25,63,50,62,0.411764706,0.396825397,0.806451613
Chris Gatling,2001,329,733,28,92,156,228,0.448840382,0.304347826,0.684210526
Scottie Pippen,2001,269,596,64,186,119,161,0.451342282,0.344086022,0.739130435
Matt Harpring,2001,238,524,13,52,134,165,0.454198473,0.25,0.812121212
Toni Kukoc,2001,275,582,70,157,101,160,0.472508591,0.445859873,0.63125
Bob Sura,2001,202,518,47,172,135,189,0.38996139,0.273255814,0.714285714
Mookie Blaylock,2001,317,801,73,225,53,76,0.395755306,0.324444444,0.697368421
Johnny Newman,2001,291,695,59,176,254,297,0.418705036,0.335227273,0.855218855
Eric Piatkowski,2001,291,672,120,297,158,181,0.433035714,0.404040404,0.872928177
Anthony Peeler,2001,308,732,100,256,75,87,0.420765027,0.390625,0.862068966
Alan Henderson,2001,298,671,0,1,173,271,0.444113264,0,0.638376384
Kurt Thomas,2001,314,614,1,3,171,210,0.511400651,0.333333333,0.814285714
Aaron Williams,2001,297,650,0,2,244,310,0.456923077,0,0.787096774
Austin Croshere,2001,276,701,70,207,200,231,0.393723252,0.338164251,0.865800866
Arvydas Sabonis,2001,247,516,1,15,121,156,0.478682171,0.066666667,0.775641026
Lindsey Hunter,2001,298,783,152,407,77,96,0.380587484,0.373464373,0.802083333
Corey Maggette,2001,225,487,17,56,223,288,0.46201232,0.303571429,0.774305556
Larry Johnson,2001,246,598,51,163,102,128,0.411371237,0.312883436,0.796875
Roshown McLeod,2001,145,332,2,22,45,51,0.436746988,0.090909091,0.882352941
Eric Snow,2001,182,435,5,19,122,154,0.418390805,0.263157895,0.792207792
Alvin Williams,2001,330,767,33,108,109,145,0.430247718,0.305555556,0.751724138
Anfernee Hardaway,2001,15,36,2,8,7,11,0.416666667,0.25,0.636363636
George McCloud,2001,250,651,77,234,152,181,0.384024578,0.329059829,0.839779006
Bryant Stith,2001,245,611,91,242,175,207,0.400981997,0.376033058,0.845410628
Patrick Ewing,2001,294,684,0,2,172,251,0.429824561,0,0.685258964
Rick Fox,2001,287,646,118,300,95,122,0.444272446,0.393333333,0.778688525
Charles Oakley,2001,305,786,11,49,127,152,0.388040712,0.224489796,0.835526316
Tyrone Hill,2001,278,587,0,1,172,273,0.473594549,0,0.63003663
Courtney Alexander,2001,239,573,17,46,123,150,0.417102967,0.369565217,0.82
Marcus Fizer,2001,278,646,10,39,117,161,0.430340557,0.256410256,0.726708075
Chris Whitney,2001,182,470,93,248,101,113,0.387234043,0.375,0.89380531
Antonio Daniels,2001,275,588,74,183,121,156,0.467687075,0.404371585,0.775641026
LaPhonso Ellis,2001,298,642,7,22,169,214,0.464174455,0.318181818,0.789719626
Darius Miles,2001,318,630,1,19,124,238,0.504761905,0.052631579,0.521008403
Lucious Harris,2001,265,624,46,132,107,139,0.424679487,0.348484848,0.769784173
Jason Williams,2001,281,690,98,311,60,76,0.407246377,0.31511254,0.789473684
Morris Peterson,2001,290,673,63,165,104,145,0.430906389,0.381818182,0.717241379
Christian Laettner,2001,277,551,4,13,170,204,0.502722323,0.307692308,0.833333333
John Starks,2001,273,686,64,182,89,111,0.397959184,0.351648352,0.801801802
Kevin Willis,2001,304,690,1,6,113,147,0.44057971,0.166666667,0.768707483
Chauncey Billups,2001,248,587,73,194,144,171,0.422487223,0.37628866,0.842105263
Rod Strickland,2001,182,429,4,17,130,173,0.424242424,0.235294118,0.751445087
Kendall Gill,2001,107,323,4,14,65,90,0.33126935,0.285714286,0.722222222
Fred Hoiberg,2001,217,494,103,249,136,157,0.439271255,0.413654618,0.866242038
Howard Eisley,2001,265,675,107,269,104,126,0.392592593,0.397769517,0.825396825
Othella Harrington,2001,247,507,0,3,171,224,0.487179487,0,0.763392857
Brad Miller,2001,168,386,1,5,168,226,0.435233161,0.2,0.743362832
Brent Barry,2001,198,401,109,229,84,103,0.493765586,0.475982533,0.815533981
Shandon Anderson,2001,263,590,46,170,138,188,0.445762712,0.270588235,0.734042553
Chris Porter,2001,173,445,0,5,94,141,0.388764045,0,0.666666667
Jahidi White,2001,203,408,0,1,177,312,0.49754902,0,0.567307692
Horace Grant,2001,263,569,0,3,131,169,0.462214411,0,0.775147929
P.J. Brown,2001,249,561,0,4,178,209,0.443850267,0,0.851674641
George Lynch,2001,274,616,15,57,123,171,0.444805195,0.263157895,0.719298246
Walt Williams,2001,202,513,98,248,97,126,0.393762183,0.39516129,0.76984127
Bryant Reeves,2001,254,552,1,4,113,142,0.460144928,0.25,0.795774648
Tyrone Nesby,2001,189,530,49,180,85,106,0.356603774,0.272222222,0.801886792
Pat Garrity,2001,223,576,97,224,85,98,0.387152778,0.433035714,0.867346939
Stephen Jackson,2001,243,572,52,155,97,135,0.424825175,0.335483871,0.718518519
Derrick Coleman,2001,97,255,20,51,63,92,0.380392157,0.392156863,0.684782609
James Posey,2001,243,590,65,217,115,141,0.411864407,0.299539171,0.815602837
Quentin Richardson,2001,232,525,50,151,99,158,0.441904762,0.331125828,0.626582278
Dana Barros,2001,183,412,44,105,68,80,0.444174757,0.419047619,0.85
Hubert Davis,2001,196,433,78,171,54,62,0.452655889,0.456140351,0.870967742
John Amaechi,2001,237,592,0,7,176,279,0.400337838,0,0.630824373
Keon Clark,2001,249,519,0,1,142,240,0.479768786,0,0.591666667
Sean Elliott,2001,147,339,55,129,60,84,0.433628319,0.426356589,0.714285714
Felipe Lopez,2001,211,478,19,52,109,156,0.441422594,0.365384615,0.698717949
Malik Rose,2001,160,368,3,17,114,160,0.434782609,0.176470588,0.7125
Mark Jackson,2001,244,583,70,207,73,94,0.418524871,0.338164251,0.776595745
Bruce Bowen,2001,211,581,103,307,98,161,0.363166954,0.335504886,0.608695652
Nazr Mohammed,2001,176,369,0,1,89,126,0.47696477,0,0.706349206
Isaiah Rider,2001,201,472,34,92,71,83,0.425847458,0.369565217,0.855421687
Chris Mihm,2001,173,391,0,1,100,126,0.442455243,0,0.793650794
Al Harrington,2001,241,543,1,7,103,157,0.443830571,0.142857143,0.656050955
Kenny Anderson,2001,88,227,11,33,59,71,0.387665198,0.333333333,0.830985915
Eddie Robinson,2001,216,407,2,4,64,88,0.530712531,0.5,0.727272727
Erick Dampier,2001,126,314,0,2,67,126,0.401273885,0,0.531746032
Danny Manning,2001,247,500,7,28,102,140,0.494,0.25,0.728571429
Vonteego Cummings,2001,178,517,48,143,79,116,0.344294004,0.335664336,0.681034483
Bo Outlaw,2001,226,368,1,2,129,225,0.614130435,0.5,0.573333333
Dale Davis,2001,242,487,0,4,96,152,0.496919918,0,0.631578947
Terry Porter,2001,197,440,87,205,92,116,0.447727273,0.424390244,0.793103448
Bobby Jackson,2001,231,526,39,104,65,88,0.439163498,0.375,0.738636364
Wesley Person,2001,128,292,34,84,24,30,0.438356164,0.404761905,0.8
Kenny Thomas,2001,206,465,25,92,91,126,0.443010753,0.27173913,0.722222222
Charlie Ward,2001,155,373,67,175,56,70,0.415549598,0.382857143,0.8
Shawn Bradley,2001,219,447,1,6,140,178,0.489932886,0.166666667,0.786516854
Matt Maloney,2001,146,346,51,142,26,34,0.421965318,0.35915493,0.764705882
Shammond Williams,2001,161,368,61,133,84,96,0.4375,0.458646617,0.875
Dee Brown,2001,16,44,12,32,4,5,0.363636364,0.375,0.8
Chris Crawford,2001,122,270,6,22,68,83,0.451851852,0.272727273,0.819277108
Moochie Norris,2001,184,413,25,89,151,194,0.445520581,0.280898876,0.778350515
Eric Williams,2001,162,448,46,139,165,231,0.361607143,0.330935252,0.714285714
Ron Harper,2001,127,271,19,72,34,48,0.468634686,0.263888889,0.708333333
Cedric Ceballos,2001,101,229,22,73,37,43,0.441048035,0.301369863,0.860465116
Earl Boykins,2001,25,63,1,8,14,17,0.396825397,0.125,0.823529412
Tony Battie,2001,108,201,0,3,44,69,0.537313433,0,0.637681159
Shawn Kemp,2001,168,413,4,11,101,131,0.406779661,0.363636364,0.770992366
Damon Jones,2001,170,416,84,231,37,52,0.408653846,0.363636364,0.711538462
Mahmoud Abdul-Rauf,2001,120,246,4,14,22,29,0.487804878,0.285714286,0.75862069
Scot Pollard,2001,185,395,0,2,128,171,0.46835443,0,0.748538012
Robert Pack,2001,181,426,12,31,105,137,0.424882629,0.387096774,0.766423358
Tom Gugliotta,2001,149,378,3,12,61,77,0.394179894,0.25,0.792207792
Ben Wallace,2001,216,440,1,4,80,238,0.490909091,0.25,0.336134454
Brevin Knight,2001,139,370,1,10,54,66,0.375675676,0.1,0.818181818
Anthony Carter,2001,195,480,6,40,65,103,0.40625,0.15,0.631067961
Michael Doleac,2001,220,527,0,3,50,59,0.417457306,0,0.847457627
Jerome Williams,2001,136,294,0,3,100,135,0.462585034,0,0.740740741
Bryce Drew,2001,124,327,40,105,14,19,0.379204893,0.380952381,0.736842105
Khalid El-Amin,2001,115,311,28,84,56,72,0.36977492,0.333333333,0.777777778
Greg Buckner,2001,84,192,2,7,59,81,0.4375,0.285714286,0.728395062
Scott Williams,2001,171,361,1,4,60,70,0.473684211,0.25,0.857142857
Matt Geiger,2001,88,224,0,2,37,54,0.392857143,0,0.685185185
Jacque Vaughn,2001,170,393,30,78,128,164,0.432569975,0.384615385,0.780487805
Dell Curry,2001,162,382,62,145,43,51,0.42408377,0.427586207,0.843137255
Grant Long,2001,140,319,4,15,112,157,0.438871473,0.266666667,0.713375796
A.J. Guyton,2001,78,192,27,69,15,18,0.40625,0.391304348,0.833333333
Milt Palacio,2001,126,267,12,36,78,92,0.471910112,0.333333333,0.847826087
Trajan Langdon,2001,135,313,51,124,68,76,0.431309904,0.411290323,0.894736842
Doug Overton,2001,52,139,11,36,10,16,0.374100719,0.305555556,0.625
Desmond Mason,2001,189,439,18,67,67,91,0.430523918,0.268656716,0.736263736
John Wallace,2001,100,236,2,15,35,45,0.423728814,0.133333333,0.777777778
Dion Glover,2001,141,336,9,46,47,69,0.419642857,0.195652174,0.68115942
Keyon Dooling,2001,148,362,28,80,125,179,0.408839779,0.35,0.698324022
Larry Robinson,2001,67,184,44,116,21,24,0.364130435,0.379310345,0.875
Emanual Davis,2001,133,318,50,127,45,55,0.418238994,0.393700787,0.818181818
Matt Bullard,2001,129,305,86,213,10,14,0.42295082,0.403755869,0.714285714
Chris Mullin,2001,36,106,19,52,24,28,0.339622642,0.365384615,0.857142857
Robert Traylor,2001,161,324,0,2,80,141,0.49691358,0,0.567375887
Sherman Douglas,2001,122,303,8,40,86,115,0.402640264,0.2,0.747826087
Avery Johnson,2001,134,300,1,6,41,60,0.446666667,0.166666667,0.683333333
Danny Ferry,2001,178,375,70,156,22,30,0.474666667,0.448717949,0.733333333
David Vanterpool,2001,46,110,0,6,30,50,0.418181818,0,0.6
Sean Rooks,2001,169,395,1,2,107,143,0.427848101,0.5,0.748251748
Mateen Cleaves,2001,160,400,5,17,97,137,0.4,0.294117647,0.708029197
Olden Polynice,2001,206,415,0,1,17,65,0.496385542,0,0.261538462
Rodney Buford,2001,104,241,16,38,24,29,0.43153527,0.421052632,0.827586207
Hedo Turkoglu,2001,138,335,28,86,87,112,0.411940299,0.325581395,0.776785714
Samaki Walker,2001,121,252,1,3,78,124,0.48015873,0.333333333,0.629032258
Brian Shaw,2001,164,411,42,135,51,64,0.399026764,0.311111111,0.796875
Michael Curry,2001,145,319,4,9,62,73,0.454545455,0.444444444,0.849315068
Erick Strickland,2001,81,267,30,95,68,79,0.303370787,0.315789474,0.860759494
Jon Barry,2001,103,251,46,130,64,73,0.410358566,0.353846154,0.876712329
Robert Horry,2001,147,380,54,156,59,83,0.386842105,0.346153846,0.710843373
DerMarr Johnson,2001,146,390,41,127,64,87,0.374358974,0.322834646,0.735632184
Mike Penberthy,2001,92,222,55,139,28,31,0.414414414,0.395683453,0.903225806
Tracy Murray,2001,94,248,36,103,33,42,0.379032258,0.349514563,0.785714286
Dan Majerle,2001,87,259,57,181,36,44,0.335907336,0.314917127,0.818181818
Eddie House,2001,104,247,19,55,24,35,0.421052632,0.345454545,0.685714286
Monty Williams,2001,162,364,1,13,85,133,0.445054945,0.076923077,0.639097744
Bimbo Coles,2001,91,239,2,16,48,56,0.380753138,0.125,0.857142857
Greg Anthony,2001,97,253,65,159,25,37,0.383399209,0.408805031,0.675675676
Stromile Swift,2001,153,339,0,4,85,141,0.451327434,0,0.602836879
Troy Hudson,2001,125,372,22,109,85,104,0.336021505,0.201834862,0.817307692
Chris Carr,2001,52,111,16,36,46,60,0.468468468,0.444444444,0.766666667
Eddie Gill,2001,16,41,3,9,4,5,0.390243902,0.333333333,0.8
Paul McPherson,2001,108,215,2,12,42,58,0.502325581,0.166666667,0.724137931
Wang Zhi-zhi,2001,8,19,0,2,8,10,0.421052632,0,0.8
Corey Benjamin,2001,115,302,21,81,56,83,0.380794702,0.259259259,0.674698795
Stacey Augmon,2001,127,266,0,4,57,87,0.477443609,0,0.655172414
Chris Childs,2001,135,335,32,106,60,71,0.402985075,0.301886792,0.845070423
Jumaine Jones,2001,122,275,20,60,40,53,0.443636364,0.333333333,0.754716981
Vernon Maxwell,2001,73,223,34,111,21,32,0.32735426,0.306306306,0.65625
Jamal Crawford,2001,107,304,41,117,27,34,0.351973684,0.35042735,0.794117647
Cherokee Parks,2001,134,274,0,6,31,44,0.489051095,0,0.704545455
Corie Blount,2001,130,294,2,8,51,83,0.442176871,0.25,0.614457831
Carlos Rogers,2001,75,110,0,1,29,52,0.681818182,0,0.557692308
Mark Strickland,2001,103,239,1,2,45,70,0.430962343,0.5,0.642857143
Jamaal Magloire,2001,122,271,0,2,95,145,0.450184502,0,0.655172414
Ricky Davis,2001,12,29,1,1,7,8,0.413793103,1,0.875
Slava Medvedenko,2001,12,25,1,1,7,12,0.48,1,0.583333333
Billy Owens,2001,88,229,3,20,19,40,0.384279476,0.15,0.475
Rasho Nesterovic,2001,147,319,0,1,34,65,0.460815047,0,0.523076923
A.C. Green,2001,144,324,0,6,79,111,0.444444444,0,0.711711712
Greg Ostertag,2001,139,281,1,2,84,151,0.494661922,0.5,0.556291391
Laron Profit,2001,56,142,7,26,33,45,0.394366197,0.269230769,0.733333333
Mikki Moore,2001,132,268,0,1,95,130,0.492537313,0,0.730769231
Tyus Edney,2001,35,91,1,6,35,39,0.384615385,0.166666667,0.897435897
Mario Elie,2001,104,246,36,100,55,69,0.422764228,0.36,0.797101449
Hanno Mottola,2001,123,277,0,3,73,90,0.444043321,0,0.811111111
Ike Austin,2001,96,270,6,24,28,40,0.355555556,0.25,0.7
Cedric Henderson,2001,102,262,1,8,30,46,0.389312977,0.125,0.652173913
Todd Day,2001,44,118,26,69,18,23,0.372881356,0.376811594,0.782608696
Scott Burrell,2001,7,15,2,6,1,4,0.466666667,0.333333333,0.25
Derek Strong,2001,45,117,0,1,28,37,0.384615385,0,0.756756757
Randy Brown,2001,100,237,0,3,23,40,0.421940928,0,0.575
Anthony Goldwire,2001,30,80,9,34,13,17,0.375,0.264705882,0.764705882
Gary Trent,2001,57,130,0,1,19,36,0.438461538,0,0.527777778
Detlef Schrempf,2001,39,95,3,8,23,27,0.410526316,0.375,0.851851852
Chucky Brown,2001,40,95,0,3,22,34,0.421052632,0,0.647058824
Vinny Del Negro,2001,106,234,1,13,41,44,0.452991453,0.076923077,0.931818182
Bruno Sundov,2001,20,41,0,4,3,5,0.487804878,0,0.6
Lee Nailon,2001,66,136,0,1,32,43,0.485294118,0,0.744186047
Don MacLean,2001,10,20,2,2,9,12,0.5,1,0.75
Tariq Abdul-Wahad,2001,43,111,4,10,21,36,0.387387387,0.4,0.583333333
Michael Smith,2001,106,218,0,1,89,154,0.486238532,0,0.577922078
Sam Perkins,2001,86,226,38,110,32,38,0.380530973,0.345454545,0.842105263
Darvin Ham,2001,39,80,2,3,29,49,0.4875,0.666666667,0.591836735
David Benoit,2001,71,147,5,13,31,39,0.482993197,0.384615385,0.794871795
Popeye Jones,2001,60,153,1,6,41,55,0.392156863,0.166666667,0.745454545
Kevin Edwards,2001,56,170,5,19,43,53,0.329411765,0.263157895,0.811320755
Quincy Lewis,2001,50,123,9,25,15,21,0.406504065,0.36,0.714285714
Jeff Foster,2001,100,213,2,7,47,91,0.469483568,0.285714286,0.516483516
Sam Mitchell,2001,118,289,9,43,40,55,0.408304498,0.209302326,0.727272727
Tyronn Lue,2001,50,117,11,34,19,24,0.427350427,0.323529412,0.791666667
Jonathan Bender,2001,66,186,11,41,50,68,0.35483871,0.268292683,0.735294118
Jud Buechler,2001,75,163,32,77,9,12,0.460122699,0.415584416,0.75
Ryan Bowen,2001,80,144,4,11,27,44,0.555555556,0.363636364,0.613636364
Jerome Kersey,2001,32,69,0,1,6,14,0.463768116,0,0.428571429
Chris Herren,2001,29,96,16,55,9,12,0.302083333,0.290909091,0.75
Darrick Martin,2001,29,76,14,27,31,35,0.381578947,0.518518519,0.885714286
Steve Kerr,2001,67,159,33,77,14,15,0.421383648,0.428571429,0.933333333
Eduardo Najera,2001,58,111,1,3,14,33,0.522522523,0.333333333,0.424242424
Cal Bowdler,2001,53,114,1,5,33,40,0.464912281,0.2,0.825
Bill Curley,2001,25,47,1,2,12,19,0.531914894,0.5,0.631578947
Devean George,2001,64,206,15,68,39,55,0.310679612,0.220588235,0.709090909
Hersey Hawkins,2001,56,137,17,46,54,63,0.408759124,0.369565217,0.857142857
Kevin Ollie,2001,76,192,1,3,63,89,0.395833333,0.333333333,0.707865169
Jason Collier,2001,27,71,0,1,17,24,0.38028169,0,0.708333333
Mike Smith,2001,19,59,3,18,10,16,0.322033898,0.166666667,0.625
Elliot Perry,2001,65,140,1,5,16,22,0.464285714,0.2,0.727272727
William Avery,2001,55,144,16,59,28,36,0.381944444,0.271186441,0.777777778
Vladimir Stepania,2001,28,88,1,4,25,34,0.318181818,0.25,0.735294118
Tony Smith,2001,8,23,0,2,1,2,0.347826087,0,0.5
Dan Langhi,2001,37,99,0,1,16,29,0.373737374,0,0.551724138
Derrick Dial,2001,36,83,2,10,12,21,0.43373494,0.2,0.571428571
Adam Keefe,2001,64,159,1,3,39,63,0.402515723,0.333333333,0.619047619
Ruben Wolkowyski,2001,25,77,0,2,25,34,0.324675325,0,0.735294118
Anthony Johnson,2001,53,152,1,5,23,33,0.348684211,0.2,0.696969697
Eldridge Recasner,2001,38,114,13,39,14,18,0.333333333,0.333333333,0.777777778
Jaren Jackson,2001,16,40,7,18,0,2,0.4,0.388888889,0
Mark Pope,2001,62,142,5,24,22,35,0.436619718,0.208333333,0.628571429
Chris Garner,2001,7,37,0,7,5,6,0.189189189,0,0.833333333
Walter McCarty,2001,45,126,19,56,22,28,0.357142857,0.339285714,0.785714286
Lavor Postell,2001,17,54,3,11,22,27,0.314814815,0.272727273,0.814814815
DeShawn Stevenson,2001,31,91,1,12,26,38,0.340659341,0.083333333,0.684210526
Derrick McKey,2001,60,136,4,20,21,27,0.441176471,0.2,0.777777778
Michael Redd,2001,5,19,0,3,3,6,0.263157895,0,0.5
Brent Price,2001,3,11,1,4,6,7,0.272727273,0.25,0.857142857
Rafer Alston,2001,30,83,8,29,9,13,0.361445783,0.275862069,0.692307692
Adrian Griffin,2001,33,97,9,26,18,24,0.340206186,0.346153846,0.75
John Crotty,2001,22,65,4,7,17,19,0.338461538,0.571428571,0.894736842
Rick Brunson,2001,18,54,2,14,8,15,0.333333333,0.142857143,0.533333333
Ira Newble,2001,21,55,4,9,8,16,0.381818182,0.444444444,0.5
Cory Alexander,2001,18,56,4,16,12,18,0.321428571,0.25,0.666666667
Scott Padgett,2001,18,43,5,9,15,20,0.418604651,0.555555556,0.75
Brian Cardinal,2001,10,31,0,5,11,18,0.322580645,0,0.611111111
Mark Madsen,2001,55,113,1,1,26,37,0.486725664,1,0.702702703
Greg Foster,2001,56,133,3,9,10,14,0.421052632,0.333333333,0.714285714
Doug West,2001,11,38,0,2,6,7,0.289473684,0,0.857142857
Steve Goodrich,2001,7,18,1,3,4,7,0.388888889,0.333333333,0.571428571
Tim James,2001,16,49,1,3,12,14,0.326530612,0.333333333,0.857142857
Jerome Moiso,2001,12,30,0,1,10,24,0.4,0,0.416666667
Dalibor Bagaric,2001,17,65,0,1,13,28,0.261538462,0,0.464285714
Tyrone Corbin,2001,9,38,0,5,2,4,0.236842105,0,0.5
Sean Colson,2001,6,24,1,5,2,4,0.25,0.2,0.5
Juan Sanchez,2001,9,28,0,1,2,2,0.321428571,0,1
Travis Knight,2001,10,53,0,1,9,18,0.188679245,0,0.5
Allen Iverson,2002,665,1669,78,268,475,585,0.398442181,0.291044776,0.811965812
Shaquille O'Neal,2002,712,1229,0,1,398,717,0.579332791,0,0.555090656
Paul Pierce,2002,707,1598,210,520,520,643,0.442428035,0.403846154,0.808709176
Tracy McGrady,2002,715,1586,103,283,415,555,0.450819672,0.363957597,0.747747748
Tim Duncan,2002,764,1504,1,10,560,701,0.507978723,0.1,0.798858773
Kobe Bryant,2002,749,1597,33,132,488,589,0.469004383,0.25,0.82852292
Vince Carter,2002,559,1307,121,313,245,307,0.427697016,0.38658147,0.798045603
Chris Webber,2002,532,1075,5,19,253,338,0.494883721,0.263157895,0.74852071
Dirk Nowitzki,2002,600,1258,139,350,440,516,0.476947536,0.397142857,0.852713178
Michael Jordan,2002,551,1324,10,53,263,333,0.416163142,0.188679245,0.78978979
Karl Malone,2002,635,1399,9,25,509,639,0.45389564,0.36,0.796557121
Antoine Walker,2002,666,1689,222,645,240,324,0.394316163,0.344186047,0.740740741
Gary Payton,2002,737,1578,74,236,267,335,0.467046895,0.313559322,0.797014925
Ray Allen,2002,530,1148,229,528,214,245,0.461672474,0.433712121,0.873469388
Cuttino Mobley,2002,595,1358,149,377,267,314,0.43814433,0.395225464,0.850318471
Steve Francis,2002,420,1007,68,210,326,422,0.417080437,0.323809524,0.772511848
Jamal Mashburn,2002,303,744,41,112,211,241,0.407258065,0.366071429,0.875518672
Jerry Stackhouse,2002,524,1319,86,300,495,577,0.39727066,0.286666667,0.857885615
Shareef Abdur-Rahim,2002,598,1297,21,70,419,523,0.461063994,0.3,0.801147228
Peja Stojakovic,2002,547,1130,129,310,283,323,0.484070796,0.416129032,0.876160991
Kevin Garnett,2002,659,1401,37,116,359,448,0.470378301,0.318965517,0.801339286
Glenn Robinson,2002,536,1147,58,178,236,282,0.467306016,0.325842697,0.836879433
Michael Finley,2002,569,1228,76,224,210,251,0.463355049,0.339285714,0.836653386
Jalen Rose,2002,663,1458,89,246,281,335,0.45473251,0.361788618,0.83880597
Stephon Marbury,2002,625,1413,71,248,353,452,0.442321302,0.286290323,0.780973451
Allan Houston,2002,568,1301,136,346,295,339,0.436587241,0.393063584,0.87020649
Richard Hamilton,2002,472,1084,16,42,300,337,0.435424354,0.380952381,0.890207715
Sam Cassell,2002,554,1197,71,204,282,328,0.462823726,0.348039216,0.859756098
Antawn Jamison,2002,614,1375,68,210,323,440,0.446545455,0.323809524,0.734090909
Latrell Sprewell,2002,573,1419,145,403,284,346,0.403805497,0.359801489,0.820809249
Jason Terry,2002,524,1219,172,444,284,340,0.429860541,0.387387387,0.835294118
Rasheed Wallace,2002,603,1287,114,317,201,274,0.468531469,0.359621451,0.733576642
Shawn Marion,2002,654,1395,48,122,191,226,0.468817204,0.393442623,0.845132743
Jermaine O'Neal,2002,543,1133,1,14,284,413,0.479258605,0.071428571,0.687651332
Wally Szczerbiak,2002,609,1200,87,191,226,272,0.5075,0.455497382,0.830882353
Nick Van Exel,2002,501,1226,119,350,201,251,0.408646003,0.34,0.800796813
Eddie Jones,2002,517,1198,149,382,297,355,0.431552588,0.390052356,0.836619718
Baron Davis,2002,559,1341,170,478,196,338,0.416853095,0.355648536,0.579881657
Steve Nash,2002,525,1088,156,343,260,293,0.482536765,0.454810496,0.887372014
Pau Gasol,2002,551,1064,1,5,338,477,0.517857143,0.2,0.708595388
Bonzi Wells,2002,487,1039,66,172,215,290,0.468719923,0.38372093,0.74137931
Rashard Lewis,2002,455,972,123,316,162,200,0.468106996,0.389240506,0.81
Grant Hill,2002,83,195,0,2,69,80,0.425641026,0,0.8625
Lamond Murray,2002,430,986,101,238,215,263,0.436105477,0.424369748,0.817490494
Reggie Miller,2002,414,913,180,443,296,325,0.453450164,0.406320542,0.910769231
Andre Miller,2002,474,1045,22,87,365,447,0.453588517,0.252873563,0.81655481
Alonzo Mourning,2002,447,866,1,3,283,431,0.516166282,0.333333333,0.656612529
Mike Miller,2002,351,802,116,303,138,181,0.43765586,0.382838284,0.762430939
Derrick Coleman,2002,331,735,28,83,185,227,0.450340136,0.337349398,0.814977974
Wesley Person,2002,467,944,143,322,99,124,0.49470339,0.444099379,0.798387097
Kenyon Martin,2002,445,962,15,67,181,267,0.462577963,0.223880597,0.677902622
Donyell Marshall,2002,343,661,13,42,160,226,0.518910741,0.30952381,0.707964602
