Team,GM,Team_Payroll,Winning_Percentage,Year,Relative_Payroll
LA Angels,Tony Reagins,138998524,0.531,2011,1.602955586
LA Dodgers,Ned Colletti,103788990,0.509,2011,1.196913007
Miami Marlins,Mike Hill,56944000,0.444,2011,0.656688289
Milwaukee Brewers,Douglas Melvin,85497333,0.593,2011,0.98597038
Minnesota Twins,Bill Smith,112737000,0.389,2011,1.300103042
NY Mets,Sandy Alderson,120147310,0.475,2011,1.385560049
NY Yankees,Brian Cashman,201689030,0.599,2011,2.3259136
Oakland Athletics,Billy Beane,66536500,0.457,2011,0.767310697
Philadelphia Phillies,Ruben Amaro Jr.,172976381,0.63,2011,1.994794248
Pittsburgh Pirates,Neal Huntington,46047000,0.444,2011,0.531022156
San Diego Padres,Jed Hoyer,45869140,0.438,2011,0.528971043
San Francisco Giants,Brian Sabean,118216333,0.531,2011,1.36329168
Seattle Mariners,Jack Zduriencik,86424600,0.414,2011,0.996663787
St. Louis Cardinals,John Mozeliak,105433572,0.556,2011,1.215878618
Tampa Bay Rays,Andrew Friedman,41932171,0.562,2011,0.483569219
Texas Rangers,Jon Daniels,92299265,0.593,2011,1.064411464
Toronto Blue Jays,Alex Anthopoulos,62517800,0.5,2011,0.720966337
Washington Nationals,Mike Rizzo,63681929,0.497,2011,0.734391279
Arizona DBacks,Kevin Towers,74284833,0.5,2012,0.866260197
Atlanta Braves,Frank Wren,83309942,0.58,2012,0.971505001
Baltimore Orioles,Dan Duquette,81428999,0.574,2012,0.949570698
Boston Red Sox,Ben Cherington,173186617,0.426,2012,2.019586865
Chicago Cubs,Jed Hoyer,88197033,0.377,2012,1.028494999
Chicago White Sox,Ken Williams,96919500,0.525,2012,1.130210593
Cincinnati Reds,Walt Jocketty,82203616,0.599,2012,0.958603765
Cleveland Indians,Chris Antonetti,78430300,0.42,2012,0.91460187
Colorado Rockies,Dan O'Dowd,78069571,0.395,2012,0.910395289
Detroit Tigers,Dave Dombrowski,132300000,0.543,2012,1.542794397
Houston Astros,Jeff Luhnow,60651000,0.34,2012,0.707271526
KC Royals,Dayton Moore,60916225,0.444,2012,0.710364404
LA Angels,Jerry Dipoto,154485166,0.549,2012,1.801503012
LA Dodgers,Ned Colletti,95143575,0.531,2012,1.10950094
Miami Marlins,Mike Hill,118078000,0.426,2012,1.376946914
Milwaukee Brewers,Douglas Melvin,97653944,0.512,2012,1.13877519
Minnesota Twins,Terry Ryan,94085000,0.407,2012,1.097156544
NY Mets,Sandy Alderson,93353983,0.457,2012,1.088631911
NY Yankees,Brian Cashman,197962289,0.586,2012,2.308504234
Oakland Athletics,Billy Beane,55372500,0.58,2012,0.645717179
Philadelphia Phillies,Ruben Amaro Jr.,174538938,0.5,2012,2.035356731
Pittsburgh Pirates,Neal Huntington,63431999,0.488,2012,0.739701683
San Diego Padres,Josh Byrnes,55244700,0.469,2012,0.64422686
San Francisco Giants,Brian Sabean,117620683,0.58,2012,1.371613988
Seattle Mariners,Jack Zduriencik,81978100,0.463,2012,0.955973948
St. Louis Cardinals,John Mozeliak,110300862,0.543,2012,1.286255116
Tampa Bay Rays,Andrew Friedman,64173500,0.556,2012,0.748348573
Texas Rangers,Jon Daniels,120510974,0.574,2012,1.405318635
Toronto Blue Jays,Alex Anthopoulos,75489200,0.451,2012,0.880304722
Washington Nationals,Mike Rizzo,81336143,0.605,2012,0.948487873
Arizona DBacks,Kevin Towers,89100500,0.5,2013,0.985780255
Atlanta Braves,Frank Wren,89778192,0.593,2013,0.993278029
Baltimore Orioles,Dan Duquette,90993333,0.525,2013,1.006721971
Boston Red Sox,Ben Cherington,150655500,0.599,2013,1.666805654
Chicago Cubs,Jed Hoyer,104304676,0.407,2013,1.153994535
Chicago White Sox,Rick Hahn,119073277,0.389,2013,1.317389749
Cincinnati Reds,Walt Jocketty,107491305,0.556,2013,1.189250409
Cleveland Indians,Chris Antonetti,77772800,0.568,2013,0.860454101
Colorado Rockies,Dan O'Dowd,71924071,0.457,2013,0.79574558
Detroit Tigers,Dave Dombrowski,148414500,0.574,2013,1.642011926
Houston Astros,Jeff Luhnow,22062600,0.315,2013,0.244093753
KC Royals,Dayton Moore,81491725,0.531,2013,0.901599132
LA Angels,Jerry Dipoto,127896250,0.481,2013,1.415004382
LA Dodgers,Ned Colletti,216597577,0.568,2013,2.396368311
Miami Marlins,Mike Hill,36341900,0.383,2013,0.402075493
Milwaukee Brewers,Douglas Melvin,82976944,0.457,2013,0.918031133
Minnesota Twins,Terry Ryan,75802500,0.407,2013,0.838655314
NY Mets,Sandy Alderson,73396649,0.457,2013,0.812037726
NY Yankees,Brian Cashman,228835490,0.525,2013,2.531764779
Oakland Athletics,Billy Beane,60664500,0.593,2013,0.671173184
Philadelphia Phillies,Ruben Amaro Jr.,165385714,0.451,2013,1.829776166
Pittsburgh Pirates,Neal Huntington,79555000,0.58,2013,0.880171808
San Diego Padres,Josh Byrnes,67143600,0.469,2013,0.742855934
San Francisco Giants,Brian Sabean,140264334,0.469,2013,1.551841021
Seattle Mariners,Jack Zduriencik,72031143,0.438,2013,0.796930191
St. Louis Cardinals,John Mozeliak,115222086,0.599,2013,1.274781368
Tampa Bay Rays,Andrew Friedman,57895272,0.564,2013,0.640535306
Texas Rangers,Jon Daniels,114090100,0.558,2013,1.262257427
Toronto Blue Jays,Alex Anthopoulos,117527800,0.457,2013,1.300291072
Washington Nationals,Mike Rizzo,114056769,0.531,2013,1.261888663
Arizona DBacks,Kevin Towers/Dave Stewart,112688666,0.395,2014,1.066867728
Atlanta Braves,Frank Wren/John Hart,110897341,0.488,2014,1.049908552
Baltimore Orioles,Dan Duquette,107406623,0.593,2014,1.016860558
Boston Red Sox,Ben Cherington,162817411,0.438,2014,1.541456186
Chicago Cubs,Jed Hoyer,89007857,0.451,2014,0.842672236
Chicago White Sox,Rick Hahn,91159254,0.451,2014,0.863040354
Cincinnati Reds,Walt Jocketty,112390772,0.469,2014,1.064047448
Cleveland Indians,Chris Antonetti,82534800,0.525,2014,0.781389271
Colorado Rockies,Dan OÍDowd/Jeff Bridich,95832071,0.407,2014,0.907279742
Detroit Tigers,Dave Dombrowski,162228527,0.556,2014,1.53588099
Houston Astros,Jeff Luhnow,44544174,0.432,2014,0.421717138
KC Royals,Dayton Moore,92034345,0.549,2014,0.871325183
LA Angels,Jerry Dipoto,155692000,0.605,2014,1.47399713
LA Dodgers,Ned Colletti,235295219,0.58,2014,2.227631975
Miami Marlins,Dan Jennings,47565400,0.475,2014,0.450320267
Milwaukee Brewers,Douglas Melvin,103844806,0.506,2014,0.983139442
Minnesota Twins,Terry Ryan,85776500,0.432,2014,0.812079714
NY Mets,Sandy Alderson,89051758,0.488,2014,0.843087864
NY Yankees,Brian Cashman,203812506,0.519,2014,1.929572803
Oakland Athletics,Billy Beane,83401400,0.543,2014,0.789593712
Philadelphia Phillies,Ruben Amaro Jr.,180052723,0.451,2014,1.704629634
Pittsburgh Pirates,Neal Huntington,78111667,0.543,2014,0.739513738
San Diego Padres,Josh Byrnes/Omar Minaya/A.J. Preller,90094196,0.475,2014,0.852957033
San Francisco Giants,Brian Sabean,154185878,0.543,2014,1.459738083
Seattle Mariners,Jack Zduriencik,92081943,0.537,2014,0.871775812
St. Louis Cardinals,John Mozeliak,111020360,0.556,2014,1.051073221
Tampa Bay Rays,Andrew Friedman,77062891,0.475,2014,0.729584565
Texas Rangers,Jon Daniels,136036172,0.414,2014,1.287907709
Toronto Blue Jays,Alex Anthopoulos,132628700,0.512,2014,1.255647838
Washington Nationals,Mike Rizzo,134704437,0.593,2014,1.275299653
Arizona DBacks,Dave Stewart,76639242,0.488,2015,0.625864672
Atlanta Braves,John Hart,111081246,0.414,2015,0.907130939
Baltimore Orioles,Dan Duquette,118284476,0.5,2015,0.965955206
Boston Red Sox,Ben Cherington,214789749,0.481,2015,1.754053306
Chicago Cubs,Jed Hoyer,134193810,0.599,2015,1.095876769
Chicago White Sox,Rick Hahn,118875487,0.469,2015,0.970781622
Cincinnati Reds,Walt Jocketty,114040612,0.395,2015,0.931298227
Cleveland Indians,Chris Antonetti,77404413,0.503,2015,0.632113344
Colorado Rockies,Jeff Bridich,106860781,0.42,2015,0.872665046
Detroit Tigers,Dave Dombrowski,162218297,0.46,2015,1.324735196
Houston Astros,Jeff Luhnow,81450835,0.531,2015,0.665157937
KC Royals,Dayton Moore,126560340,0.586,2015,1.033539002
LA Angels,Jerry Dipoto,151348162,0.525,2015,1.235965614
LA Dodgers,Ned Colletti,301735080,0.568,2015,2.46408135
Miami Marlins,Dan Jennings,63590525,0.438,2015,0.519303976
Milwaukee Brewers,Douglas Melvin,94010873,0.42,2015,0.767727898
Minnesota Twins,Terry Ryan,106431818,0.512,2015,0.869161974
NY Mets,Sandy Alderson,115641550,0.556,2015,0.944372085
NY Yankees,Brian Cashman,221256867,0.537,2015,1.806866207
Oakland Athletics,Billy Beane,80376830,0.42,2015,0.656387211
Philadelphia Phillies,Ruben Amaro Jr.,141722639,0.389,2015,1.157359998
Pittsburgh Pirates,Neal Huntington,99435606,0.605,2015,0.812028294
San Diego Padres,A.J. Preller,127463770,0.457,2015,1.040916749
San Francisco Giants,Brian Sabean,187088630,0.519,2015,1.527835623
Seattle Mariners,Jack Zduriencik,126031265,0.469,2015,1.029218378
St. Louis Cardinals,John Mozeliak,132178951,0.617,2015,1.079422678
Tampa Bay Rays,Andrew Friedman,73582652,0.494,2015,0.600903416
Texas Rangers,Jon Daniels,152445607,0.543,2015,1.244927759
Toronto Blue Jays,Alex Anthopoulos,138309664,0.574,2015,1.12948837
Washington Nationals,Mike Rizzo,165655095,0.512,2015,1.352801372
