Team,GM,Team_Payroll,Winning_Percentage,Year,Relative_Payroll
Atlanta Braves,John Schuerholz,91851687,0.543,2001,1.461493291
Baltimore Orioles,Syd Thrift,72426328,0.391,2001,1.152407712
Boston Red Sox,Dan Duquette,109558908,0.509,2001,1.743240807
Chicago Cubs,Andy MacPhail,64015833,0.543,2001,1.018584563
Chicago White Sox,Ken Williams,62363000,0.512,2001,0.992285597
Cincinnati Reds,Jim Bowden,45227882,0.407,2001,0.719641068
Cleveland Indians,John Hart,91974979,0.562,2001,1.463455045
Colorado Rockies,Dan O'Dowd,71068000,0.451,2001,1.130794747
Detroit Tigers,Randy Smith,49831167,0.407,2001,0.792885995
Houston Astros,Gerry Hunsicker,60382667,0.574,2001,0.960775633
KC Royals,Allard Baird,35643000,0.401,2001,0.567131721
LA Angels,Bill Stoneman,46568180,0.463,2001,0.740967149
LA Dodgers,Kevin Malone/David Wallace,108980952,0.531,2001,1.734044691
Miami Marlins,Dave Dombrowski,35504167,0.469,2001,0.564922687
Milwaukee Brewers,Dean Taylor,43089333,0.42,2001,0.685613658
Minnesota Twins,Terry Ryan,24350000,0.525,2001,0.387443745
Montreal Expos,Jim Beattie/Larry Beinfest,34774500,0.42,2001,0.553312629
NY Mets,Steve Phillips,93174428,0.506,2001,1.482540015
NY Yankees,Brian Cashman,109791893,0.594,2001,1.746947936
Oakland Athletics,Billy Beane,33810750,0.63,2001,0.537977972
Philadelphia Phillies,Ed Wade,41664167,0.531,2001,0.662937204
Pittsburgh Pirates,Cam Bonifay/David Littlefield,52698333,0.383,2001,0.838506756
San Diego Padres,Kevin Towers,38333117,0.488,2001,0.609935377
San Francisco Giants,Brian Sabean,63332667,0.556,2001,1.007714403
Seattle Mariners,Pat Gillick,75652500,0.716,2001,1.203740778
St. Louis Cardinals,Walt Jocketty,77270855,0.574,2001,1.229491149
Tampa Bay Rays,Chuck LaMar,54951602,0.383,2001,0.874359527
Texas Rangers,Douglas Melvin,88504421,0.451,2001,1.408233444
Toronto Blue Jays,Gord Ash,75798500,0.494,2001,1.206063849
Arizona DBacks,Joe Garagiola,102820000,0.605,2002,1.682606398
Atlanta Braves,John Schuerholz,93470367,0.631,2002,1.529603555
Baltimore Orioles,Syd Thrift,60493487,0.414,2002,0.989950673
Boston Red Sox,Mike Port,108366060,0.574,2002,1.773365355
Chicago Cubs,Andy MacPhail/Jim Hendry,75690833,0.414,2002,1.238648899
Chicago White Sox,Ken Williams,57052833,0.5,2002,0.933645806
Cincinnati Reds,Jim Bowden,45050390,0.481,2002,0.737230835
Cleveland Indians,Mark Shapiro,78909448,0.457,2002,1.291320191
Colorado Rockies,Dan O'Dowd,56851043,0.451,2002,0.930343597
Detroit Tigers,Dave Dombrowski,55048000,0.342,2002,0.900837551
Houston Astros,Gerry Hunsicker,63448417,0.519,2002,1.03830687
KC Royals,Allard Baird,47257000,0.383,2002,0.773341087
LA Angels,Bill Stoneman,61721667,0.611,2002,1.010049327
LA Dodgers,Dan Evans,94850952,0.568,2002,1.552196252
Miami Marlins,Larry Beinfest,41979917,0.488,2002,0.686983825
Milwaukee Brewers,Dean Taylor,50287833,0.346,2002,0.822939404
Minnesota Twins,Terry Ryan,40225000,0.584,2002,0.658265341
Montreal Expos,Omar Minaya,38670500,0.512,2002,0.632826597
NY Mets,Steve Phillips,94633593,0.466,2002,1.548639263
NY Yankees,Brian Cashman,125928583,0.64,2002,2.060768716
Oakland Athletics,Billy Beane,39679746,0.636,2002,0.649342487
Philadelphia Phillies,Ed Wade,57955000,0.497,2002,0.948409393
Pittsburgh Pirates,David Littlefield,42323598,0.447,2002,0.692608021
San Diego Padres,Kevin Towers,41425000,0.407,2002,0.67790284
San Francisco Giants,Brian Sabean,78299835,0.59,2002,1.281344129
Seattle Mariners,Pat Gillick,80282668,0.574,2002,1.313792363
St. Louis Cardinals,Walt Jocketty,74098267,0.599,2002,1.212587221
Tampa Bay Rays,Chuck LaMar,34380000,0.342,2002,0.562614355
Texas Rangers,John Hart,105302124,0.444,2002,1.723225321
Toronto Blue Jays,J.P. Ricciardi,76864333,0.481,2002,1.257852737
Arizona DBacks,Joe Garagiola,80640333,0.519,2003,1.169042152
Atlanta Braves,John Schuerholz,106243667,0.623,2003,1.540213445
Baltimore Orioles,Jim Beattie and Mike Flanagan,73877500,0.438,2003,1.071001425
Boston Red Sox,Theo Epstein,99946500,0.586,2003,1.448923474
Chicago Cubs,Jim Hendry,79868333,0.543,2003,1.157850475
Chicago White Sox,Ken Williams,51010000,0.531,2003,0.739491492
Cincinnati Reds,Jim Bowden,59355667,0.426,2003,0.860478548
Cleveland Indians,Mark Shapiro,48584834,0.42,2003,0.704333883
Colorado Rockies,Dan O'Dowd,67179667,0.457,2003,0.973903003
Detroit Tigers,Dave Dombrowski,49168000,0.265,2003,0.712788035
Houston Astros,Gerry Hunsicker,71040000,0.537,2003,1.029866214
KC Royals,Allard Baird,40518000,0.512,2003,0.587389066
LA Angels,Bill Stoneman,79031667,0.475,2003,1.145721336
LA Dodgers,Dan Evans,105872620,0.525,2003,1.53483438
Miami Marlins,Larry Beinfest,49050000,0.562,2003,0.71107739
Milwaukee Brewers,Douglas Melvin,40627000,0.42,2003,0.588969238
Minnesota Twins,Terry Ryan,55505000,0.556,2003,0.804655465
Montreal Expos,Omar Minaya,51948500,0.512,2003,0.753096918
NY Mets,Steve Phillips,117176429,0.41,2003,1.698705593
NY Yankees,Brian Cashman,152749814,0.623,2003,2.214412622
Oakland Athletics,Billy Beane,50260834,0.593,2003,0.72863084
Philadelphia Phillies,Ed Wade,70780000,0.531,2003,1.026096997
Pittsburgh Pirates,David Littlefield,54812429,0.463,2003,0.79461527
San Diego Padres,Kevin Towers,47928000,0.395,2003,0.694811767
San Francisco Giants,Brian Sabean,82852167,0.621,2003,1.201107089
Seattle Mariners,Pat Gillick,86959167,0.574,2003,1.260646229
St. Louis Cardinals,Walt Jocketty,83486666,0.525,2003,1.210305415
Tampa Bay Rays,Chuck LaMar,19630000,0.389,2003,0.284575926
Texas Rangers,John Hart,103491667,0.438,2003,1.500317727
Toronto Blue Jays,J.P. Ricciardi,51269000,0.531,2003,0.743246213
Arizona DBacks,Joe Garagiola,70204984,0.315,2004,1.128556241
Atlanta Braves,John Schuerholz,88507788,0.593,2004,1.422776715
Baltimore Orioles,Jim Beattie and Mike Flanagan,51212653,0.481,2004,0.823251511
Boston Red Sox,Theo Epstein,125208542,0.605,2004,2.012747151
Chicago Cubs,Jim Hendry,91101667,0.549,2004,1.464473731
Chicago White Sox,Ken Williams,65212500,0.512,2004,1.04830127
Cincinnati Reds,Dan OÍBrien Jr.,43067858,0.469,2004,0.692322641
Cleveland Indians,Mark Shapiro,34569300,0.494,2004,0.555706975
Colorado Rockies,Dan O'Dowd,64590403,0.42,2004,1.038300962
Detroit Tigers,Dave Dombrowski,46353554,0.444,2004,0.745140725
Houston Astros,Gerry Hunsicker,74666303,0.568,2004,1.200272651
KC Royals,Allard Baird,47609000,0.358,2004,0.765322218
LA Angels,Bill Stoneman,101084667,0.568,2004,1.624952038
LA Dodgers,Paul DePodesta,89694342,0.574,2004,1.441850759
Miami Marlins,Larry Beinfest,42118042,0.512,2004,0.677054198
Milwaukee Brewers,Douglas Melvin,27518500,0.416,2004,0.442364247
Minnesota Twins,Terry Ryan,53585000,0.568,2004,0.861387365
Montreal Expos,Omar Minaya,43197500,0.414,2004,0.694406657
NY Mets,Jim Duquette,100629303,0.438,2004,1.617631989
NY Yankees,Brian Cashman,182835513,0.623,2004,2.93910984
Oakland Athletics,Billy Beane,59825167,0.562,2004,0.961699038
Philadelphia Phillies,Ed Wade,93219167,0.531,2004,1.498512879
Pittsburgh Pirates,David Littlefield,32227929,0.447,2004,0.518069065
San Diego Padres,Kevin Towers,54639503,0.537,2004,0.878338668
San Francisco Giants,Brian Sabean,82019167,0.562,2004,1.318471105
Seattle Mariners,Bill Bavasi,81543833,0.389,2004,1.310830035
St. Louis Cardinals,Walt Jocketty,75633517,0.648,2004,1.215820769
Tampa Bay Rays,Chuck LaMar,29506667,0.435,2004,0.474324347
Texas Rangers,John Hart,54825973,0.549,2004,0.881336203
Toronto Blue Jays,J.P. Ricciardi,50017000,0.416,2004,0.8040312
Arizona DBacks,Josh Byrnes,63015834,0.475,2005,0.954683986
Atlanta Braves,John Schuerholz,85148582,0.556,2005,1.289993047
Baltimore Orioles,Jim Beattie and Mike Flanagan,74570539,0.457,2005,1.129736685
Boston Red Sox,Theo Epstein,121311945,0.586,2005,1.837864611
Chicago Cubs,Jim Hendry,87210933,0.488,2005,1.321237471
Chicago White Sox,Ken Williams,75228000,0.611,2005,1.139697158
Cincinnati Reds,Dan OÍBrien Jr.,59658275,0.451,2005,0.903817282
Cleveland Indians,Mark Shapiro,41830400,0.574,2005,0.633726644
Colorado Rockies,Dan O'Dowd,47789000,0.414,2005,0.723998877
Detroit Tigers,Dave Dombrowski,68998183,0.438,2005,1.045316014
Houston Astros,Tim Purpura,76779022,0.549,2005,1.163194996
KC Royals,Allard Baird,36881000,0.346,2005,0.558743698
LA Angels,Bill Stoneman,95017822,0.586,2005,1.439511109
LA Dodgers,Paul DePodesta,81029500,0.438,2005,1.22758934
Miami Marlins,Larry Beinfest,60375961,0.512,2005,0.914690157
Milwaukee Brewers,Douglas Melvin,40234833,0.5,2005,0.609553954
Minnesota Twins,Terry Ryan,56615000,0.512,2005,0.85771195
NY Mets,Omar Minaya,104770139,0.512,2005,1.587257799
NY Yankees,Brian Cashman,205938439,0.586,2005,3.119948073
Oakland Athletics,Billy Beane,55869262,0.543,2005,0.846414089
Philadelphia Phillies,Ed Wade,95337908,0.543,2005,1.444360382
Pittsburgh Pirates,David Littlefield,38138000,0.414,2005,0.57778713
San Diego Padres,Kevin Towers,62888192,0.506,2005,0.952750222
San Francisco Giants,Brian Sabean,89487842,0.463,2005,1.35573243
Seattle Mariners,Bill Bavasi,85883333,0.426,2005,1.301124456
St. Louis Cardinals,Walt Jocketty,93319842,0.617,2005,1.413786871
Tampa Bay Rays,Chuck LaMar,29893567,0.414,2005,0.452884742
Texas Rangers,John Hart,55307258,0.488,2005,0.837899782
Toronto Blue Jays,J.P. Ricciardi,45336500,0.494,2005,0.686843731
Washington Nationals,Jim Bowden,48581500,0.5,2005,0.736005177
Arizona DBacks,Josh Byrnes,59684226,0.469,2006,0.826075925
Atlanta Braves,John Schuerholz,90156876,0.488,2006,1.247841009
Baltimore Orioles,Mike Flanagan,72585582,0.432,2006,1.004640687
Boston Red Sox,Theo Epstein,120099824,0.531,2006,1.662274606
Chicago Cubs,Jim Hendry,94424499,0.407,2006,1.306908217
Chicago White Sox,Ken Williams,102750667,0.556,2006,1.422148833
Cincinnati Reds,Wayne Krivsky,60909519,0.494,2006,0.84303493
Cleveland Indians,Mark Shapiro,56031500,0.481,2006,0.775519368
Colorado Rockies,Dan O'Dowd,41233000,0.469,2006,0.570696663
Detroit Tigers,Dave Dombrowski,82612866,0.586,2006,1.143426066
Houston Astros,Tim Purpura,92551503,0.506,2006,1.280984502
KC Royals,Allard Baird/Dayton Moore,47294000,0.383,2006,0.654585599
LA Angels,Bill Stoneman,103472000,0.549,2006,1.43213264
LA Dodgers,Ned Colletti,98447187,0.543,2006,1.362585335
Miami Marlins,Larry Beinfest,14998500,0.481,2006,0.207590859
Milwaukee Brewers,Douglas Melvin,57568333,0.463,2006,0.796790327
Minnesota Twins,Terry Ryan,63396006,0.593,2006,0.877449836
NY Mets,Omar Minaya,101084963,0.599,2006,1.399094199
NY Yankees,Brian Cashman,194663079,0.599,2006,2.69428782
Oakland Athletics,Billy Beane,62243079,0.574,2006,0.861492433
Philadelphia Phillies,Pat Gillick,88273333,0.525,2006,1.221771314
Pittsburgh Pirates,David Littlefield,46717750,0.414,2006,0.646609852
San Diego Padres,Kevin Towers,69896141,0.543,2006,0.96741674
San Francisco Giants,Brian Sabean,90056419,0.472,2006,1.246450606
Seattle Mariners,Bill Bavasi,87959833,0.481,2006,1.217432232
St. Louis Cardinals,Walt Jocketty,88891371,0.516,2006,1.230325439
Tampa Bay Rays,Andrew Friedman,35417967,0.377,2006,0.490212102
Texas Rangers,Jon Daniels,68228662,0.494,2006,0.944337539
Toronto Blue Jays,J.P. Ricciardi,71915000,0.537,2006,0.995359313
Washington Nationals,Jim Bowden,63143000,0.438,2006,0.873948037
Arizona DBacks,Josh Byrnes,52067546,0.556,2007,0.615333313
Atlanta Braves,John Schuerholz,87290833,0.519,2007,1.031601478
Baltimore Orioles,Mike Flanagan and Andy MacPhail,93554808,0.426,2007,1.105629021
Boston Red Sox,Theo Epstein,143026214,0.593,2007,1.690281198
Chicago Cubs,Jim Hendry,99670332,0.525,2007,1.177902173
Chicago White Sox,Ken Williams,108671833,0.444,2007,1.284281748
Cincinnati Reds,Wayne Krivsky,68904980,0.444,2007,0.814317802
Cleveland Indians,Mark Shapiro,61673267,0.593,2007,0.728853549
Colorado Rockies,Dan O'Dowd,54424000,0.552,2007,0.643181843
Detroit Tigers,Dave Dombrowski,95180369,0.543,2007,1.124839872
Houston Astros,Tim Purpura/Ed Wade,87759000,0.451,2007,1.037134268
KC Royals,Dayton Moore,67116500,0.426,2007,0.793181578
LA Angels,Bill Stoneman/Tony Reagins,109251333,0.58,2007,1.291130268
LA Dodgers,Ned Colletti,108454524,0.506,2007,1.281713594
Miami Marlins,Larry Beinfest,30507000,0.438,2007,0.360531172
Milwaukee Brewers,Douglas Melvin,70986500,0.512,2007,0.838917167
Minnesota Twins,Terry Ryan,71439500,0.488,2007,0.844270713
NY Mets,Omar Minaya,115231663,0.543,2007,1.3618057
NY Yankees,Brian Cashman,189639045,0.58,2007,2.241150788
Oakland Athletics,Billy Beane,79366940,0.469,2007,0.937957055
Philadelphia Phillies,Pat Gillick,89428213,0.549,2007,1.056860996
Pittsburgh Pirates,David Littlefield,38537833,0.42,2007,0.45543941
San Diego Padres,Kevin Towers,58110567,0.546,2007,0.686749625
San Francisco Giants,Brian Sabean,90219056,0.438,2007,1.066207165
Seattle Mariners,Bill Bavasi,106460833,0.543,2007,1.25815219
St. Louis Cardinals,Walt Jocketty,90286823,0.481,2007,1.067008034
Tampa Bay Rays,Andrew Friedman,24123500,0.407,2007,0.285091085
Texas Rangers,Jon Daniels,68318675,0.463,2007,0.80738886
Toronto Blue Jays,J.P. Ricciardi,81942800,0.512,2007,0.968398522
Washington Nationals,Jim Bowden,37347500,0.451,2007,0.441372076
Arizona DBacks,Josh Byrnes,66202712,0.506,2008,0.828012258
Atlanta Braves,Frank Wren,102365683,0.444,2008,1.280310697
Baltimore Orioles,Andy MacPhail,67196246,0.422,2008,0.840438612
Boston Red Sox,Theo Epstein,133390035,0.586,2008,1.668339268
Chicago Cubs,Jim Hendry,118345833,0.602,2008,1.480178039
Chicago White Sox,Ken Williams,121189332,0.546,2008,1.515742323
Cincinnati Reds,Wayne Krivsky,74117695,0.457,2008,0.927006737
Cleveland Indians,Mark Shapiro,78970066,0.5,2008,0.987696436
Colorado Rockies,Dan O'Dowd,68655500,0.457,2008,0.858689831
Detroit Tigers,Dave Dombrowski,137685196,0.457,2008,1.722059816
Houston Astros,Ed Wade,88930414,0.534,2008,1.112272756
KC Royals,Dayton Moore,58245500,0.463,2008,0.728489612
